"Timestamp","Please tick the checkbox below as a way of providing informed consent for us to utilize your answers in the project.","What is your gender?","What is your field of study?","What is your year of study?","On a scale of 1-5, how would you rate the current state of mental health support at your university?","Have you ever utilized the mental health care services offered at your university?","If yes, how satisfied were you with the services offered?","What mental health challenges do you or your peers commonly face? (Pick the top three)","How comfortable do you feel discussing Mental Health issues with: [Friends]","How comfortable do you feel discussing Mental Health issues with: [Family]","How comfortable do you feel discussing Mental Health issues with: [University staff]","How comfortable do you feel discussing Mental Health issues with: [Professional counselors]","What barriers, if any, have you experienced in accessing mental health support? ","What methods or activities do you use to maintain your mental health?","How comfortable would you feel using a mental health companion software application powered by Artificial Intelligence?","What features would you find helpful in a mental health companion software application powered by Artificial Intelligence? (Select your top three)","What concerns, if any, would you have about using a mental health companion software application powered by Artificial Intelligence?","In your opinion, how can universities improve mental health support for students?","Any additional comments or suggestions regarding mental health support in universities?"
"2024/09/15 2:22:56 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","2 - Poor","No","","Stress;Anxiety;Financial concerns","Very comfortable","Somewhat uncomfortable","Neutral","Very comfortable","I have never looked for mental health support because I don't take it so serious ","Social support;In most cases I prefer chatting with whatsapp chatbot to look for options  ","5 - Very Comfortable","Personalized coping strategies;Connection to professional help when needed;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","By creating awareness about how mental health is important and coming up with social activities like exercises or declaring a mental health day for students to reach out to professionals freely","Currently at Makerere many students face mental health challenges but are not aware of the professional services that the university offers and therefore in most cases they prefer to deal with such issues personally which may lead to drug abuse and other substances or other destructive activities "
"2024/09/15 2:29:02 pm GMT+3","I give you my consent","Male","Information technology (IT)","4th Year","2 - Poor","No","","Anxiety;Academic pressure;Financial concerns","Neutral","Very uncomfortable","Very uncomfortable","Neutral","Lack of awareness about available resources;Financial constraints","Exercise;Social support","3 - Neutral","Daily mood tracking;Connection to professional help when needed","Privacy","",""
"2024/09/15 6:19:10 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Very comfortable","Very uncomfortable","Very uncomfortable","Somewhat comfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Social support","5 - Very Comfortable","Daily mood tracking;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health","Privacy;Incorrect mental health information","",""
"2024/09/17 10:02:28 am GMT+3","I give you my consent","Male","Information Technology (IT)","2nd Year","3 - Fair","No","2 - Not Satisfied","Stress;Academic pressure;Financial concerns","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Long wait times;Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Putting up systems that highly engage students without the knowledge of anyone","Eager to seee the system "
"2024/09/17 10:07:05 am GMT+3","I give you my consent","Male","Information Technology (IT)","1st Year","4 - Good","No","","Stress;Academic pressure;Financial concerns","Very comfortable","Very comfortable","Somewhat comfortable","Very comfortable","Lack of awareness about available resources;Financial constraints","Exercise;Social support","5 - Very Comfortable","Daily mood tracking;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","By availing such AI apps and also availing information on how to easily access professional counselors","Its actually a great aspect of life because many students lose focus due to lacking mental health "
"2024/09/17 10:09:14 am GMT+3","I give you my consent","Male","Computer Science","1st Year","3 - Fair","No","","Anxiety;Academic pressure;Financial concerns","Somewhat comfortable","Neutral","Somewhat comfortable","Very comfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Therapy or counseling;Social support;Music, Gaming, Basketball (watching), Anime, Horror movies and a few other specific TV series etc","5 - Very Comfortable","Daily mood tracking;Connection to professional help when needed;Anonymous peer support;Trained A.I chat bot to communicate with;Emergency helplines, True life stories from former mental health patients ","Incorrect mental health information;A.I tends to come off as a bit passive","More sensitization, special mental health management training for university staff","You're doing a great job😊👍🏾"
"2024/09/17 10:12:57 am GMT+3","I give you my consent","Female","Information Technology (IT)","4th Year","1 - Very poor","No","1 - Disappointed","Stress;Academic pressure;Financial concerns","Neutral","Neutral","Very uncomfortable","Neutral","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Social support","3 - Neutral","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","By employing more counselors atleast one per college",""
"2024/09/17 10:20:47 am GMT+3","I give you my consent","Male","Engineering, Art & Design","2nd Year","1 - Very poor","No","1 - Disappointed","Depression;Academic pressure;Financial concerns","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Meditation or mindfulness;Social support","4 - Somewhat Comfortable","Daily mood tracking;Meditation and mindfulness exercises","Privacy","By creating awareness about mental health support and availing the services required ","Should be among the top priorities of the reigning administration especially in the male gender"
"2024/09/17 10:32:03 am GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","5 - Very Comfortable","Daily mood tracking;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Promoting awareness ",""
"2024/09/17 10:43:24 am GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very comfortable","Lack of awareness about available resources;Financial constraints","Exercise;Social support","1 - Very Uncomfortable","Daily mood tracking;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy;Incorrect mental health information","Create more awareness ",""
